Comuna,Codigo_comuna,Barrio,Codigo_barrio,Estrato_0,Estrato_1,Estrato_2,Estrato_3,Estrato_4,Estrato_5,Estrato_6,Annio
POPULAR,01,SANTO DOMINGO SAVIO No. 1,0101,0,694,2253,0,0,0,0,2009
POPULAR,01,SANTO DOMINGO SAVIO No. 2,0102,0,5,3,0,0,0,0,2009
POPULAR,01,POPULAR,0103,0,386,2694,0,0,0,0,2009
POPULAR,01,GRANIZAL,0104,0,219,1491,0,0,0,0,2009
POPULAR,01,MOSCU No. 2,0105,0,311,1861,0,0,0,0,2009
POPULAR,01,VILLA GUADALUPE,0106,0,313,1511,6,0,0,0,2009
POPULAR,01,SAN PABLO,0107,0,92,223,0,0,0,0,2009
POPULAR,01,EL COMPROMISO,0108,0,519,2,0,0,0,0,2009
POPULAR,01,ALDEA PABLO VI,0109,0,320,1,0,0,0,0,2009
POPULAR,01,LA ESPERANZA No. 2,0110,0,432,26,0,0,0,0,2009
POPULAR,01,LA AVANZADA,0111,0,783,10,0,0,0,0,2009
POPULAR,01,CARPINELO,0112,0,1172,7,1,0,0,0,2009
SANTA CRUZ,02,LA ISLA,0201,0,281,1614,1,0,0,0,2009
SANTA CRUZ,02,EL PLAYON DE LOS COMUNEROS,0202,0,576,1034,0,0,0,0,2009
SANTA CRUZ,02,PABLO VI,0203,0,3,699,0,0,0,0,2009
SANTA CRUZ,02,LA FRONTERA,0204,0,125,714,0,0,0,0,2009
SANTA CRUZ,02,LA FRANCIA,0205,0,294,1957,1,0,0,0,2009
SANTA CRUZ,02,ANDALUCIA,0206,0,99,1338,0,0,0,0,2009
SANTA CRUZ,02,VILLA DEL SOCORRO,0207,0,166,1620,1,0,0,0,2009
SANTA CRUZ,02,VILLA NIZA,0208,0,107,870,0,0,0,0,2009
SANTA CRUZ,02,MOSCU No. 1,0209,0,168,1388,5,0,0,0,2009
SANTA CRUZ,02,SANTA CRUZ,0210,0,98,1734,0,0,0,0,2009
SANTA CRUZ,02,LA ROSA,0211,0,241,853,0,0,0,0,2009
MANRIQUE,03,LA SALLE,0301,0,45,1747,0,0,0,0,2009
MANRIQUE,03,LAS GRANJAS,0302,0,276,3743,3,0,0,0,2009
MANRIQUE,03,CAMPO VALDES No. 2,0303,0,0,2,0,0,0,0,2009
MANRIQUE,03,SANTA INES,0304,0,213,1015,1,0,0,0,2009
MANRIQUE,03,EL RAIZAL,0305,0,296,1549,1,0,0,0,2009
MANRIQUE,03,EL POMAR,0306,0,0,2,0,0,0,0,2009
MANRIQUE,03,MANRIQUE CENTRAL No. 2,0307,0,0,1,0,0,0,0,2009
MANRIQUE,03,MANRIQUE ORIENTAL,0308,0,27,1600,289,0,0,0,2009
MANRIQUE,03,VERSALLES No. 1,0309,0,551,2018,0,0,0,0,2009
