FECHA,COMUNA,ORGANIZACIÓN_COMUNAL,DIRECCIÓN,ORG_RADIO_ACCION,SEDES_SOCIALES,EST_EDUCATIVOS,CENTROS_DE_DESARROL,CASAS_DE_LA_CULTURA,SEDES_ONG,CONDICIONES_DE_OTRAS,CONDICIONES_DE_OTRAS,LEGIMITIMIDAD_BARRIO,LECTURAS_TERRITORIO,SECTORES_RADIO,JUNTA_DIRECTIVA,PART_GRUPOS_POBLACIO,DECISIONES_JUNTADIRECTIVA,DECISIONES_ASAMBLEA,PROYECTOS_EN_EL_AÑO,¿CUÁNTOS_PROYECTOS?,PROYECTO_AÑO_ANTERIOR,RECURSOS_PROPIOS,LIDERA_PROCESOS,ACTIVIDADES_SALUD,ACTIVIDADES_EDUCACIÓN,ACTIVIDADES_INCLUSIÓN,ACTIVIDADES_DEPORTES,ACTIVIDADES_RECREACI,ACTIVIDADES_MEDIO_AM,ACTIVIDADES_PAZ,ACTIVIDADES_CULTURA,OTROS,OTROS:_ENUNCIE_ACTIVIDADES,DIGNATARIOS ACTIVOS,CUENTA_COMISIONES,¿CUÁNTAS?,ACT_LIBRO_DE_AFILIAD,ACT_LIBRO_DE_INVENTA,ACT_LIBRO_DE_TESORER,ACT_LIBRO_DE_ACTAS,OTROS_LIBROS,ACT_OTROS_LIBROS,ESTRATEGIAS_DIVULGAC,REGLAMENTO_INTERNO,ACT_ESTATUTOS,ESPACIOSDELIBERACIÓN,EMPALME_DE_DIGNATARI,EMPALME_PRESIDENTE,EMPALME_VICEPRESIDENTE,EMPALME_TESORERO,EMPALME_SECRETARIO,EMPALME_COORDINADOR,EMPALME_ORGANOFISCAL,EMPALME_ORGANOCONCILIADOR,EMPALME_DELEGADOSASO,INCIDE_DESARROLLO,¿COMO_INCIDE?
16/09/2017,06,12 DE OCTUBRE SECTOR EL JARDÍN DE MEDELLIN,Calle 108 # 82-36,SI,No especifica,No especifica,No especifica,No especifica,No especifica,Hogares comunitarios del ICBF,,"Convocatorias para ofertas institucionales, fiestas del niño, fortalecimiento con tejido social (Recreativo, cultural, social y politico), combites.",SI,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto",SI,Sí,NO,formulación y gestión de proyectos,NO,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia","Jornadas de vacunación, odontologia preventiva.",Fomento a la educación superior,,"Torneo cada 6 meses llamado ""los teteritos""",Jornadas recreativas con el Inder,Jornadas de Ornato y limpieza,,Eventos culturales mostrando talentos.,,,10,Sí,3,26 de agosto de 2017,26 de Abril 2016,14 de Agosto de 2017,13/08/2017,,,Sí,Sí,No,Sí,Empalme Parcial,NO,SI,NO,NO,NO,SI,NO,NO,Sí,Con las actividades que realiza genera intercambios entre vecinos siendo así una jac incidente en la vida de sus habitantes.
11/10/2017,06,12 DE OCTUBRE ZONA TREINTA DE MEDELLIN,Calle 104 c # 82 FF -25,SI,Regular,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,"Actividad en parejas, escuela de arte, la de fútbol, clases de ingles, cultura, modelación 3D, danzas, matemáticas, punto de la mujer, colectivo de mujeres.",NO,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Afrodescendientes, Victimas del conflicto",SI,Sí,SI,4,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia","Jornadas de vacunación, Jornadas visual, nutrición.","Clases de Ingles, Clases de Matemáticas, Clases de Moderación 3D, alfabetización.",,"Punto de la Mujer, Clases de Fútbol.",Tomas recreativas.,"Jornada de eco-huertas, Limpieza de puntos críticos, implementación de huertas, mesa central de medio ambiente.",Café por la paz.,Escuela de Danza y dibujo.,,,16,Sí,7,28-09-2017,19-04-2017,14-06-2017,25/09/2017,bancos,14-06-2017,Sí,Sí,No,Sí,Empalme Parcial,SI,SI,SI,NO,SI,SI,SI,NO,Sí,"En la organización y cualificación de los comites, iniciativa del plan de desarrollo, sector de convivencia, en el sentido de pertenencia y fomenta la participación."
11/11/2017,08,13 DE NOVIEMBRE SECTOR LA PRIMAVERA DE MEDELLIN,Carrera 19 Nº 56HE - 34 Interior 201,SI,No especifica,Bueno,No especifica,No especifica,No especifica,Colegio Beato Iturrate,,"Asambleas, rendicion de cuentas",SI,Sí,Sí,"Mujeres, Hombres, Adultos, Adultos Mayores, Victimas del conflicto",SI,No,SI,1,NO,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia","Jornadas de salud visual, mamografias",,Noche de cine,Grupo de futbol,,"Lombri cultivos, huerta comunitaria",Noche de cine,Noche de cine,Infraestructura,Arreglo de vias,8,Sí,3,8/10/2017,13/08/2015 no tienen mas bienes por registrar,No hay libro,15/02/2015,Actas junta directiva,6/05/2015 Pendientes de transcribir,Sí,No,Sí,Sí,No Empalme,NO,NO,NO,NO,NO,NO,NO,NO,Sí,Mejorando la calidad de vida del sector
09/10/2017,70,ALTAVISTA PARTE ALTA,carrera 116 # 17a 49,SI,Bueno,Bueno,No especifica,No especifica,No especifica,No especifica,No especifica,"Andenes y Pasamanos (pl y pp), Convites de Limpieza, Eventos Deportivos, Recreacionistas, Gafas, prótesis, vacunas de mascotas.",NO,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Victimas del conflicto",SI,Sí,NO,formulación y gestión de proyectos,NO,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Mejorar el acceso a los derechos, Fortalecer la Convivencia","Gafas, prótesis, vacunas.","educación Superior, técnicas por medio del telecentro, vacunación a animales.",,torneos de fútbol.,"recreación a niños, ",limpiezas ,Capacitación a victimas,,,,14,Sí,3,,,,,,,Sí,Sí,No,Sí,Empalme Total,NO,SI,SI,SI,SI,SI,SI,SI,Sí,"Mejorando la calidad de vida, la salud y la infraestructura."
08/10/2017,80,ANGELES DE SAN ANTONIO,Calle 68B Sur 69 21,NO,No especifica,No especifica,No especifica,No especifica,No especifica,No especifica,No especifica,"asambleas, ejecución de planes de trabajo",NO,Sí,Sí,"LGTBI, Jóvenes, Adultos, Adultos Mayores",NO,No,SI,6,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Fortalecer la Convivencia",tamizaje visual,,,,fiesta de la familia,"limpieza de terreno, tenencia responsable de mascotas",seguridad casa de gobierno,,,,14,Sí,4,,,,,,,Sí,No,No,Sí,No Empalme,,,,,,,,,Sí,construcción de vivienda.
28/09/2017,09,ANGELES SOÑADORES,CR 40 # 46 - 68,SI,Bueno,Bueno,Bueno,Bueno,Bueno,No especifica,No especifica,"EL FOCO DE LA ORGANIZACIÓN ESTA PUESTO EN LAS VIVIENDAS DE INTERÉS PRIORITARIO PARA LOS AFILIADOS, POBLACIÓN VULNERABLEM.",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Victimas del conflicto, Población en Situación de Discapacidad",SI,Sí,SI,4,NO,No,"Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",,,,,,,,,,,10,No,No aplica,,,,,,,No,Sí,No,Sí,Empalme Parcial,NO,NO,NO,NO,NO,SI,NO,SI,Sí,SE A LOGRADO QUE EL 30% DE SUS FAMILIAS ASOCIADAS HAYAN ACCEDIDO AL PROGRAMA DE VIVIENDA PRIORITARIA.
03/09/2017,04,ARANJUEZ SAN CAYETANO,carrera 51 # 87 - 08,SI,Bueno,No especifica,No especifica,Bueno,Bueno,No especifica,No especifica,"festival de parques, clásica aran juez, celebración día de la madre del padre,clases de danza, bisutería.",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Población en Situación de Discapacidad",SI,Sí,SI,4,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",brigadas de salud.,talleres formativos.,actividades de integracion grupos de tercera edad.,,"recreando, torneos deportivos, clásica ciclistica.",limpieza parques y quebrada.,festival de parques,"danza, baile,manualidades.",,,15,Sí,4,al dia.,enero de 2014,31 agosto,12/08/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,"en mejoramiento de las condiciones de vida de sus habitantes,la infraestructura,llevando la oferta institucional."
09/10/2017,16,ASOCIACIÓN COMUNAL DE JUNTAS DE ACCIÓN COMUNAL Y JUNTAS DE VIVIENDA ASOBELÉN,Carrera 77 # 31-75,SI,Bueno,Bueno,Bueno,No especifica,No especifica,Carantoñas.,Bueno,"Las acciones que desarrolla la ASOCOMUNAL 16 son : gestionar proyectos realizar actividades con la organizaciones de la comuna 16, talleres y trabajo en equipo para fortalecer las organizaciones.",NO,Sí,Sí,"Mujeres, Hombres, Jóvenes, Adultos, Adultos Mayores",NO,No,SI,5,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",Copaco,Becas de estudio con presupuesto Participativo,Inclusión y actividades con discapacitados,"Justas deportivas, actividades escuelas deportivas de la comuna 16 y entidades privadas.",,"Mesa ambiental, festivales ambientales.",,,Seminarios de belén  con la Gobernación de Antioquia.,,19,Sí,8,12 de mayo de 2017,16 de marzo de 2016,julio 31 de 2017,,,,Sí,No,No,Sí,Empalme Parcial,SI,SI,SI,NO,NO,SI,SI,SI,Sí,La ASOCOMUNAL 16 incide en el territorio con sus acciones para fortalecer las organizaciones de la comuna 16.
13/10/2017,04,ASOCIACIÓN COMUNAL DE JUNTAS DE LA COMUNA CUATRO ASOCOVIC IV,CALLE 87 # 52 B 45,SI,Regular,Bueno,Regular,Bueno,Regular,No especifica,No especifica,"PROCESOS FORMATIVOS ,ACADÉMICOS,CULTURALES,CON LAS JUNTAS DE ACION COMUNAL Y LA COMUNIDAD EN GENERAL.",SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos, Adultos Mayores, Indigenas, Población en Situación de Discapacidad",SI,Sí,SI,10,SI,Sí,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia",CAMPAÑAS DE SALUD,ACTIVIDADES FIORMATIVAS CON LOS DIGNATARIOS Y DELEGADOS DE LAS JAC.,ACTIVIDADES ADULTOS MAYORES,JORNADAS DEPORTIVAS,,CAMPAÑAS,MOVILIZACIONES,,,,19,Sí,11,JULIO DE 2017,AGOSTO DE 2017,SEPTIEMBRE DE 2017,01/09/2017,,,Sí,Sí,No,Sí,Empalme Total,SI,SI,SI,SI,SI,SI,SI,SI,Sí,CONTRIBUYENDO AL MEJORAMIENTO DE LAS CONDICIONES SOCIALES Y DE MEJORAMIENTO Y CONSTRUCION DE INFRAESTRUCTURA EN LA COMUNA 04 ARANJUEZ.
15/09/2017,03,ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNAL (ASOCOMUNAL) 3 MANRIQUE,Carrera 34 # 85 C 15,SI,Bueno,Bueno,Bueno,Bueno,No especifica,"UVA La Alegría, Armonía y Esperanza ",Bueno,Articulación con las demás organizaciones y dependencias de la administración para estar mas comprometido con la necesidad de la comunidad ,SI,Sí,Sí,"Mujeres, Hombres, LGTBI, Jóvenes, Adultos",SI,Sí,SI,10,SI,No,"Mejorar la Infraestructura, Mejorar condiciones Medioambientales, Promover la productividad y el emprendimiento., Mejorar el acceso a los derechos, Fortalecer la Convivencia, Fortalecer las Juntas de Acción Comunal , Discapacitados y Mesa de Derechos Humanos",Proyecto atención primaria en salud,Formación de lideres,,Proyectos Deportivos,Proyectos de Recreación ,Monitoreo con la mesa ambiental,,Articulación con cada grupo artistico de la comunidad,,,16,Sí,5,Julio 2016,2007,10/ Sep/2017,9/7/0217,Libro Auxiliar de Tesoreria,23 Diciembre del 2016,Sí,Sí,No,Sí,Empalme Parcial,SI,NO,NO,SI,NO,NO,SI,NO,Sí,"incide de manera positiva y comprometida con la comunidad, articulandose y gestionando proyectos  y tratando de fortalecer las Juntas de Acción Comunal "
