"","codmpio","Municipio","Depto","subregion","CTEP","nbi","iga_total","desemp_fisc","GAI","conflict_index","acciones_belicas","secuestro","ataques","ase_desap","coca","mineria_ilegal","pob_censo2018_2023","pob_rural_censo2018_2023","part_senado_urbano","part_camara_urbano","part_senado_rural","part_camara_rural","secciones_rurales","RAP"
"1",5893,"Yondó","Antioquia","Magdalena Medio",1,62.5333366394043,65.8531336253399,69.9678728367158,7,2.00909341755492,110,66,0,515,10.68,234.4,13306,5931,52.7775027230419,52.5695613427072,39.8006134969325,40.069018404908,2,"RAP del Agua y la Montaña"
"2",25001,"Agua de Dios","Cundinamarca","Suroccidente De Cundinamarca",0,24.0622882843018,63.4460385413907,63.499818225557,0,-0.8798013135084,2,8,0,6,0,0,10801,1955,54.6761112822092,54.7685042603429,0,0,4,"RAP (E) Central"
"3",50124,"Cabuyaro","Meta","Piedemonte Llanero",0,49.2584190368652,56.2282582503193,66.6454074038189,1,-0.550699486220189,4,3,0,29,0,0,4275,2201,56.6937669376694,56.7479674796748,57.6313594662219,57.5479566305254,3,"RAP (E) Central"
"4",15114,"Busbanzá","Boyacá","Altiplano Cundiboyacense",0,46.6375350952148,59.978921209185,59.8649278296358,0,-0.995024327328111,NA,NA,NA,NA,0,0,852,520,60.4240282685512,60.7773851590106,0,0,1,"RAP (E) Central"
"5",25019,"Albán","Cundinamarca","Altiplano Cundiboyacense",0,27.7755603790283,59.7976462458179,64.2199952244177,0,-0.566993664256814,7,6,0,29,0,0,5591,3687,46.707858659973,46.7271674068353,0,0,2,"RAP (E) Central"
"6",25324,"Guataquí","Cundinamarca","Suroccidente De Cundinamarca",0,48.9843368530273,68.4746880464053,57.4380991011313,0,-0.511052930457954,10,6,0,4,0,0,2354,1142,42.8010471204189,42.7137870855148,0,0,2,"RAP (E) Central"
"7",50568,"Puerto Gaitán","Meta","Altillanura",0,71.2279891967773,75.3555169074205,73.0468518710874,10,1.70477233437196,126,52,0,485,0,0,26533,12015,54.3056672025723,54.2353295819936,51.6520756848348,51.6520756848348,2,"RAP (E) Central"
"8",68522,"Palmar","Santander","Serrania De Los Yariguies",0,57.4747085571289,63.7961125277705,62.1859360649527,0,-1.0266410596571,0,0,0,6,0,0,1059,663,56.231884057971,56.231884057971,66.7506297229219,66.7506297229219,3,"RAP Gran Santander"
"9",25035,"Anapoima","Cundinamarca","Suroccidente De Cundinamarca",0,33.0522232055664,67.7363780999248,73.1087012745924,0,-0.75857750320031,1,14,0,19,0,0,13356,6735,42.5326833591846,43.2195878573011,45.4935622317597,45.8837300039017,3,"RAP (E) Central"
"10",25040,"Anolaima","Cundinamarca","Altiplano Cundiboyacense",0,31.7764720916748,72.8929632228738,63.5888408487203,0,-0.875241005775252,11,3,0,7,0,0,12092,7590,38.6092489489831,38.6546983297353,41.5871804654712,41.625333842045,4,"RAP (E) Central"
